MT-TF ENSG00000210049
TCF19 ENSG00000224472
DEFB104A ENSG00000176782
THAP9-AS1 ENSG00000251022
JMJD7-PLA2G4B ENSG00000168970
LINC01220 ENSG00000259687
UBL5P2 ENSG00000266282
ARGFXP2 ENSG00000265293
LSM2 ENSG00000172850
RFLNB ENSG00000183688
MIF-AS1 ENSG00000218537
RHOQP3 ENSG00000230756
NOC2LP1 ENSG00000213225
TACC1P1 ENSG00000224920
SLC2A11 ENSG00000133460
JDP2 ENSG00000140044
IGHV3-22 ENSG00000282609
IGHVII-22-1 ENSG00000282127
MTND1P18 ENSG00000225276
IGHVIII-22-2 ENSG00000282687
SACM1L ENSG00000211456
IGHV3-23 ENSG00000281962
FCAR ENSG00000275269
IGHV1-24 ENSG00000282284
C6orf47 ENSG00000228435
HOMER2P2 ENSG00000282601
IGHV3-25 ENSG00000282710
C6orf47-AS1 ENSG00000227665
MTRNR2L7 ENSG00000256892
ACTL6B ENSG00000077080
GHRLOS ENSG00000240288
C2orf80 ENSG00000188674
RELCH ENSG00000134444
IGHVIII-25-1 ENSG00000281926
SAMD11P1 ENSG00000262480
IGHV2-26 ENSG00000282344
LINC01905 ENSG00000267057
FAM197Y9 ENSG00000234830
PAFAH1B1 ENSG00000007168
TATDN2 ENSG00000157014
OR9Q2 ENSG00000186513
CALHM3 ENSG00000183128
ZNF248 ENSG00000198105
IGHVIII-26-1 ENSG00000282239
IGHVII-26-2 ENSG00000282452
IGHV7-27 ENSG00000282267
SRBD1 ENSG00000068784
OR1S2 ENSG00000197887
OR1S1 ENSG00000280204
NEURL1-AS1 ENSG00000235470
OR10Q1 ENSG00000180475
EIF4A2P3 ENSG00000254589
VIPR1 ENSG00000114812
NEURL1 ENSG00000107954
OR10W1 ENSG00000172772
BATF ENSG00000156127
EHD4-AS1 ENSG00000259883
ENSAP2 ENSG00000259032
GOLGA6L1 ENSG00000275009
LINC02301 ENSG00000258743
ZSCAN12 ENSG00000158691
OR10Q2P ENSG00000272900
VPS53 ENSG00000141252
OR5BC1P ENSG00000255218
DPY19L1P2 ENSG00000231952
DDX39BP2 ENSG00000224362
ZNF355P ENSG00000168122
GOLGA8N ENSG00000232653
BSNDP1 ENSG00000275048
FAM182B ENSG00000175170
RSPH3 ENSG00000130363
TRPV5 ENSG00000127412
CWF19L1 ENSG00000095485
PAM16 ENSG00000217930
MYO3B-AS1 ENSG00000231898
HLA-A ENSG00000231834
LINC01416 ENSG00000260930
GPN3P1 ENSG00000227465
LINC01539 ENSG00000267712
ARPP19 ENSG00000128989
LILRA5 ENSG00000278355
FAM74A1 ENSG00000215112
ZNF33BP1 ENSG00000225192
LINC02256 ENSG00000261064
MYO18B ENSG00000133454
BSNDP2 ENSG00000274973
TLK2P2 ENSG00000228828
ZSCAN23 ENSG00000187987
TAGAP ENSG00000164691
POU5F1 ENSG00000235068
LINC00437 ENSG00000236354
MICU3 ENSG00000155970
PRDX3P3 ENSG00000234701
LINC00366 ENSG00000229437
COX11P1 ENSG00000231162
LAMA4 ENSG00000112769
PHBP9 ENSG00000230224
KBTBD2 ENSG00000170852
RPS15AP6 ENSG00000233072
HSPE1P27 ENSG00000235112
CFAP36 ENSG00000163001
PIP4P1 ENSG00000165782
OACYLP ENSG00000224367
LINC02261 ENSG00000249699
GALNT10 ENSG00000164574
CRMP1 ENSG00000072832
LILRA4 ENSG00000276798
OR2E1P ENSG00000219262
PPP1R10 ENSG00000238104
SUMO2P1 ENSG00000223771
TUG1 ENSG00000253352
SDHDP1 ENSG00000267162
FGF7P2 ENSG00000185390
ANKRD62 ENSG00000181626
ZG16B ENSG00000162078
FAM167A-AS1 ENSG00000184608
GOLGA8EP ENSG00000278070
HMGB1P4 ENSG00000214821
GPX5 ENSG00000224586
ERG28 ENSG00000133935
FAM167A ENSG00000154319
ANKRD30BP1 ENSG00000175302
PTP4A3 ENSG00000275575
LIMD1-AS1 ENSG00000230530
MGAM ENSG00000282607
PRSS30P ENSG00000172460
GTF2IP5 ENSG00000224316
IFITM4P ENSG00000228102
TGFB3 ENSG00000119699
CXCR2 ENSG00000180871
MEF2B ENSG00000213999
CYB561A3 ENSG00000162144
HIRAP1 ENSG00000271563
LINC00836 ENSG00000280809
GPX6 ENSG00000198704
SLC5A5 ENSG00000105641
TDH ENSG00000154316
RPUSD4 ENSG00000165526
MRPS18B ENSG00000223775
RPL35P4 ENSG00000213783
EGFL6 ENSG00000198759
MROH5 ENSG00000282181
VASN ENSG00000168140
ABCB10P1 ENSG00000280461
NFKB2 ENSG00000077150
GTF2IP2 ENSG00000226930
VN1R8P ENSG00000219280
CFTRP1 ENSG00000228593
IFT43 ENSG00000119650
LINC01733 ENSG00000226203
GLIS2 ENSG00000126603
TYROBP ENSG00000011600
RP9P ENSG00000205763
VKORC1L1 ENSG00000196715
EIF1B ENSG00000114784
LRRC37A9P ENSG00000282486
RPL30P15 ENSG00000233357
GLIS2-AS1 ENSG00000262686
MSH5-SAPCD1 ENSG00000266442
PRR14L ENSG00000183530
HNRNPA1P73 ENSG00000236569
INTS1 ENSG00000164880
PSMB5 ENSG00000100804
EIF1B-AS1 ENSG00000280739
CORO7 ENSG00000262246
BUB3 ENSG00000154473
IGBP1P5 ENSG00000250858
LLCFC1 ENSG00000165131
SDCBP ENSG00000137575
MYRIP ENSG00000170011
FLVCR2 ENSG00000119686
HIGD1AP4 ENSG00000233299
CXCR1 ENSG00000163464
SLC13A4 ENSG00000164707
LINC01493 ENSG00000254562
ZNF561-AS1 ENSG00000267106
LINC00475 ENSG00000225511
PSMB11 ENSG00000222028
MIA2 ENSG00000150527
VIPR1-AS1 ENSG00000232354
RPL21P33 ENSG00000237024
LINC01185 ENSG00000228414
RPL32P23 ENSG00000214015
FAM182A ENSG00000125804
ZNF562 ENSG00000171466
KRT8P20 ENSG00000227404
PHF2 ENSG00000197724
FAM183BP ENSG00000164556
LINC02019 ENSG00000273356
FREM2-AS1 ENSG00000225350
BORCS8 ENSG00000254901
FREM2 ENSG00000150893
RBM17 ENSG00000134453
SERP2 ENSG00000151778
CCKBR ENSG00000110148
CTNND2 ENSG00000169862
FAM180A ENSG00000189320
ARSE ENSG00000157399
ESRP1 ENSG00000104413
THAP7 ENSG00000184436
BSNDP3 ENSG00000277508
NSDHL ENSG00000147383
PDCL2 ENSG00000163440
WDR55 ENSG00000120314
STMP1 ENSG00000243317
LRRC4C ENSG00000148948
TMEM138 ENSG00000149483
IMPA1P1 ENSG00000251521
CDH24 ENSG00000139880
RPS26P34 ENSG00000240427
NIPA2P4 ENSG00000254151
SLC10A5P1 ENSG00000205184
TUSC8 ENSG00000237361
MFAP3 ENSG00000037749
SMTN ENSG00000183963
NUP210 ENSG00000132182
USP9YP29 ENSG00000232424
RAB9AP1 ENSG00000232910
MAPRE1 ENSG00000101367
P2RX6 ENSG00000099957
TRAPPC2P9 ENSG00000232845
OFD1P11Y ENSG00000237302
HARS2 ENSG00000112855
NR2C2AP ENSG00000184162
SDHAP2 ENSG00000280909
ELOCP9 ENSG00000231540
CEMIP2 ENSG00000135048
REL ENSG00000162924
CDY15P ENSG00000223362
TTLL5 ENSG00000119685
XKRYP4 ENSG00000231026
SCN3B ENSG00000166257
MUC4 ENSG00000273822
GPANK1 ENSG00000233210
RASA4B ENSG00000170667
CRYGGP ENSG00000223710
DDB1 ENSG00000167986
HNRNPA1P38 ENSG00000282315
BABAM1 ENSG00000105393
HLA-DRB6 ENSG00000229391
ZBED9 ENSG00000232040
EIF4HP1 ENSG00000233830
PSMC1P2 ENSG00000213781
BORCS8-MEF2B ENSG00000064489
RSPH1 ENSG00000160188
MSN ENSG00000147065
LY75 ENSG00000054219
LINC02741 ENSG00000255388
FKBP9 ENSG00000122642
MED24 ENSG00000008838
HMBOX1-IT1 ENSG00000259196
HMBOX1 ENSG00000147421
RPSAP27 ENSG00000233869
RPS27L ENSG00000185088
TPT1P2 ENSG00000228111
SLC37A1 ENSG00000160190
EHMT2 ENSG00000232045
SAP30L-AS1 ENSG00000245275
UBR5 ENSG00000104517
USP9YP13 ENSG00000224571
SH3PXD2A-AS1 ENSG00000280693
MCOLN1 ENSG00000090674
SH3PXD2A ENSG00000107957
HLA-DRB1 ENSG00000196126
LACTB ENSG00000103642
HLA-G ENSG00000233095
EVC ENSG00000072840
RPS4XP17 ENSG00000244097
CSNK2B ENSG00000230700
SLC7A4 ENSG00000099960
CD302 ENSG00000241399
LINC00533 ENSG00000235570
KEL ENSG00000197993
UNC79 ENSG00000133958
RPSAP2 ENSG00000237425
RFXANK ENSG00000064490
NCOR1P1 ENSG00000240108
FAM114A2 ENSG00000055147
FXYD3 ENSG00000089356
NOP56P1 ENSG00000235559
ANKRD44-IT1 ENSG00000236977
MED15P5 ENSG00000236595
MTND1P29 ENSG00000237722
HNRNPA3P15 ENSG00000225636
MTND2P22 ENSG00000231954
MTCO1P7 ENSG00000236211
ANKRD44 ENSG00000065413
THAP7-AS1 ENSG00000230513
MTCO2P7 ENSG00000230496
MTATP6P7 ENSG00000232990
OR4K11P ENSG00000179381
MTCO3P7 ENSG00000249997
SNX19P1 ENSG00000228184
LINC01674 ENSG00000228159
P2RX6P ENSG00000206145
MARCH7 ENSG00000136536
TUBA3FP ENSG00000161149
HERC2 ENSG00000277278
MTND4P27 ENSG00000230548
MLLT3 ENSG00000171843
MTND5P29 ENSG00000234934
MTND6P8 ENSG00000248136
MTCYBP8 ENSG00000233550
PNPLA6 ENSG00000032444
SPAG11A ENSG00000178287
GPATCH1 ENSG00000076650
RING1 ENSG00000206287
IER3IP1 ENSG00000134049
MIR663AHG ENSG00000227195
SMARCB1 ENSG00000275837
PCDH15 ENSG00000150275
IGHV4-28 ENSG00000282726
RPL21P129 ENSG00000242636
GTSF1L ENSG00000124196
TSPY11P ENSG00000238235
IGHV3-30 ENSG00000282777
LINC01728 ENSG00000233277
NANOGP9 ENSG00000231809
HDHD2 ENSG00000167220
TLX1 ENSG00000107807
HLA-DMB ENSG00000234154
IGHVII-30-1 ENSG00000282136
IGHV3-30-2 ENSG00000282356
RFPL4B ENSG00000251258
TSPY19P ENSG00000234583
ANKRD34B ENSG00000189127
TGFB3-AS1 ENSG00000258876
STN1 ENSG00000107960
OR5B19P ENSG00000255431
TLX1NB ENSG00000236311
ASB4 ENSG00000005981
PSORS1C3 ENSG00000230983
RPL7L1P3 ENSG00000235090
IGHV3-29 ENSG00000281983
IGHV3-33 ENSG00000282642
ZNF70P1 ENSG00000231030
TMEM120A ENSG00000189077
HCG27 ENSG00000223577
HSPA1L ENSG00000206383
RPS29P11 ENSG00000242640
SLC5A6 ENSG00000138074
OR5B10P ENSG00000255096
RBMY2GP ENSG00000223744
PTPN2P2 ENSG00000224117
OR5B17 ENSG00000197786
FBXW11 ENSG00000072803
DLGAP2 ENSG00000282318
MTND4P9 ENSG00000250050
OR5B1P ENSG00000233499
RBM22P2 ENSG00000213411
RPL6P24 ENSG00000227474
MTND4LP22 ENSG00000248133
IGHVII-33-1 ENSG00000282552
IGHV3-33-2 ENSG00000282526
MTND3P5 ENSG00000251353
HMGB1 ENSG00000189403
LINC00280 ENSG00000229643
MTCO3P44 ENSG00000248654
DERL3 ENSG00000274437
IGHV4-34 ENSG00000276491
BRD2 ENSG00000234507
OR9A2 ENSG00000179468
KMT5B ENSG00000110066
OR9P1P ENSG00000239293
SRRM1P3 ENSG00000237307
CWC22 ENSG00000163510
ATP5MC2P3 ENSG00000230482
OR6V1 ENSG00000225781
ELOBP2 ENSG00000255262
BEND3P2 ENSG00000224809
PPA2 ENSG00000138777
OR6W1P ENSG00000179420
PRSS47 ENSG00000276717
RPS29P8 ENSG00000232238
HCG4P8 ENSG00000230504
COX8C ENSG00000187581
RPL22P23 ENSG00000232379
PDK4 ENSG00000004799
IGHV7-34-1 ENSG00000282123
WWC1 ENSG00000113645
LY75-CD302 ENSG00000248672
PIP ENSG00000159763
TTTY3B ENSG00000280961
USP9YP11 ENSG00000226369
TTTY21B ENSG00000237563
TTTY1B ENSG00000129816
USP9YP12 ENSG00000227871
TTTY7 ENSG00000147753
SEC11C ENSG00000166562
RAB9AP5 ENSG00000231423
CLN8 ENSG00000278220
FZD7 ENSG00000155760
TRAPPC2P10 ENSG00000228465
RPS4XP22 ENSG00000239830
LY6G5B ENSG00000244672
OR5B15P ENSG00000273408
TTTY2B ENSG00000212856
OR5B3 ENSG00000172769
ZMAT2 ENSG00000146007
FAM166B ENSG00000215187
IGHV3-35 ENSG00000282104
OR5B2 ENSG00000172365
IGHV3-36 ENSG00000281986
CRABP1 ENSG00000166426
OR4K12P ENSG00000218549
OR5B12 ENSG00000172362
POLDIP2 ENSG00000004142
MEMO1P4 ENSG00000230376
DND1 ENSG00000256453
PRPF18 ENSG00000165630
CHCHD2P1 ENSG00000226902
IGHV3-37 ENSG00000281973
IGHV3-38 ENSG00000282425
OR5B21 ENSG00000198283
IGHVIII-38-1 ENSG00000282576
CCDC58P3 ENSG00000267076
SLC4A9 ENSG00000113073
MFAP1P1 ENSG00000232489
IGHV4-39 ENSG00000282579
PPIAP56 ENSG00000267663
IGHV7-40 ENSG00000282194
ETF1P3 ENSG00000233833
USHBP1 ENSG00000130307
GRSF1 ENSG00000132463
GTDC1 ENSG00000121964
IGHVII-40-1 ENSG00000282292
HPN ENSG00000105707
TMEM184A ENSG00000164855
IGHV3-41 ENSG00000282783
DBIP2 ENSG00000251366
HOMER2P1 ENSG00000281971
IGHV3-42 ENSG00000282180
LRFN3 ENSG00000126243
HDAC11 ENSG00000163517
CYB5R2 ENSG00000166394
GPR101 ENSG00000165370
TNFAIP1 ENSG00000109079
M1AP ENSG00000159374
RPL36AP33 ENSG00000235619
HLA-DQA1 ENSG00000196735
IGHV3-43 ENSG00000282151
RUSC2 ENSG00000198853
FNDC1 ENSG00000164694
ATP5F1BP1 ENSG00000231635
TNFRSF9 ENSG00000049249
VWA3B ENSG00000168658
RAC1P4 ENSG00000237584
IGHVIII-44 ENSG00000282802
PPIAP69 ENSG00000228337
ZNF652P1 ENSG00000235278
IGHVIV-44-1 ENSG00000282553
IGHVII-44-2 ENSG00000281956
DOCK3 ENSG00000088538
IGHV1-45 ENSG00000282776
TKFC ENSG00000149476
IGHV1-46 ENSG00000282131
UQCC2 ENSG00000137288
TTTY8B ENSG00000185700
SKP1P3 ENSG00000229707
ZNF658B ENSG00000198416
HTATSF1P1 ENSG00000235684
POR ENSG00000127948
IGHVII-46-1 ENSG00000282196
IGHV3-47 ENSG00000282398
HSPA1A ENSG00000215328
IGHVIII-47-1 ENSG00000282708
EIF5 ENSG00000100664
ITPR3 ENSG00000096433
CCDC124 ENSG00000007080
FKBP4P2 ENSG00000269692
ZFYVE9P1 ENSG00000229562
SDR42E1P1 ENSG00000273994
HSPA1B ENSG00000212866
ATP5F1AP8 ENSG00000234720
ZIC3 ENSG00000156925
TVP23BP2 ENSG00000108442
RNFT1P3 ENSG00000187870
RAB28P1 ENSG00000226108
HNRNPA1P19 ENSG00000218454
LPXN ENSG00000110031
RBPJP5 ENSG00000232239
CPA1 ENSG00000091704
CAPN5 ENSG00000149260
CAMP ENSG00000164047
CENPS-CORT ENSG00000251503
IGHV3-48 ENSG00000282627
TSPY17P ENSG00000232620
LINC01337 ENSG00000251221
IGHV3-49 ENSG00000275316
MAFK ENSG00000198517
FABP5P6 ENSG00000249919
IGHVII-49-1 ENSG00000282465
OLA1P2 ENSG00000213671
HPN-AS1 ENSG00000227392
FRMD4A ENSG00000151474
SRIP3 ENSG00000224953
FNDC1-IT1 ENSG00000235086
IGHV3-50 ENSG00000282138
HCG25 ENSG00000231343
CENPS ENSG00000175279
IGHV5-51 ENSG00000277574
NR2F6 ENSG00000160113
RPSAP34 ENSG00000239939
ST13P14 ENSG00000240959
FTH1P20 ENSG00000226564
GLIDR ENSG00000278175
ZACNP1 ENSG00000278589
RHBDL1 ENSG00000103269
SCHLAP1 ENSG00000281131
EXOC7P1 ENSG00000250485
MICA ENSG00000235233
IGHVIII-51-1 ENSG00000282294
RPS18 ENSG00000096150
RPL34-AS1 ENSG00000234492
MAGEA13P ENSG00000183981
DNM1P17 ENSG00000250833
CORT ENSG00000241563
IGHVII-51-2 ENSG00000282312
KRT8P6 ENSG00000214930
SDHAF1 ENSG00000205138
IGHV3-52 ENSG00000282188
GOLGA2P6 ENSG00000241621
CIDEA ENSG00000176194
GRP ENSG00000134443
SCDP1 ENSG00000226549
HCG17 ENSG00000236729
MTPAP ENSG00000107951
EFHD2 ENSG00000142634
ANKLE1 ENSG00000160117
PSMA2P3 ENSG00000227890
TRIM26BP ENSG00000249434
KIAA2012 ENSG00000182329
DEFB103A ENSG00000176797
TRIM39 ENSG00000230308
CORO7-PAM16 ENSG00000103426
HSPD1P2 ENSG00000254543
ATRAID ENSG00000138085
DEFB4A ENSG00000171711
MANF ENSG00000145050
SUMO2P1 ENSG00000230888
RPL34 ENSG00000109475
CDRT15P2 ENSG00000227255
COL9A3 ENSG00000092758
DAZAP2P1 ENSG00000223825
ZSWIM5P1 ENSG00000235430
PRSS22 ENSG00000005001
IL6STP1 ENSG00000227018
KIAA2012-AS1 ENSG00000222035
LINC02305 ENSG00000258532
HLA-DMA ENSG00000243719
ZDHHC5 ENSG00000156599
MEIS3P1 ENSG00000179277
PGAM1 ENSG00000171314
ZNRD1 ENSG00000235176
MTND4P33 ENSG00000258762
MTND5P35 ENSG00000258923
RPL13P ENSG00000213916
LINC01623 ENSG00000225595
LINC02087 ENSG00000237057
MTCYBP27 ENSG00000259012
USP22 ENSG00000124422
SPECC1P1 ENSG00000227790
LINC00911 ENSG00000259107
VPS52 ENSG00000206286
SUMO2P19 ENSG00000253328
LINC02529 ENSG00000234777
LINC02329 ENSG00000258814
UBR5-AS1 ENSG00000246263
VPS37D ENSG00000176428
IMP4 ENSG00000136718
HMGB1P9 ENSG00000224159
ZSCAN25 ENSG00000197037
CSNK2A1 ENSG00000101266
CATSPERG ENSG00000099338
NUTF2P5 ENSG00000215227
DFFA ENSG00000160049
ENTPD3-AS1 ENSG00000223797
OFD1P12Y ENSG00000232585
THYN1 ENSG00000151500
ELOCP10 ENSG00000234081
EXOSC1 ENSG00000171311
CDY1B ENSG00000172352
ALKBH6 ENSG00000239382
PGAM1P3 ENSG00000230274
PPIA ENSG00000196262
CDY17P ENSG00000231375
ENTPD3 ENSG00000168032
ZNF202 ENSG00000166261
USP9YP35 ENSG00000237467
TRAPPC8 ENSG00000153339
RSPH9 ENSG00000172426
UBE2V2P1 ENSG00000226255
MTND1P37 ENSG00000283456
HMGN1P20 ENSG00000239539
FLRT2 ENSG00000185070
PARP8 ENSG00000151883
PEX14 ENSG00000142655
MALRD1 ENSG00000204740
SKI ENSG00000157933
RPSAP22 ENSG00000229648
MRPS18A ENSG00000096080
PARTICL ENSG00000286532
SLC49A3 ENSG00000169026
HCG18 ENSG00000235727
GPR119 ENSG00000147262
CCDC144NL-AS1 ENSG00000233098
MARCH2 ENSG00000099785
BUD23 ENSG00000071462
LINC02328 ENSG00000258733
SRPRA ENSG00000182934
MORN1 ENSG00000116151
LINC02316 ENSG00000258912
EFCAB8 ENSG00000215529
MTND2P16 ENSG00000230818
OMP ENSG00000254550
OTUD5 ENSG00000068308
TCFL5 ENSG00000101190
TRPT1 ENSG00000149743
WASF5P ENSG00000231309
EMX2 ENSG00000170370
MOG ENSG00000232641
C21orf58 ENSG00000160298
HLA-B ENSG00000232126
UBE2Q2P10 ENSG00000233915
CNGB3 ENSG00000170289
HMBS ENSG00000256269
ABHD17AP6 ENSG00000226981
RPP21 ENSG00000241779
CCDC144NL ENSG00000205212
FLOT1 ENSG00000232280
PRSS23 ENSG00000150687
ADORA2B ENSG00000170425
DPH3P1 ENSG00000233838
EMX2OS ENSG00000229847
RNASEH1P1 ENSG00000265790
SPECC1P2 ENSG00000244456
PKM ENSG00000067225
FGF7P3 ENSG00000204837
CNTF ENSG00000242689
RPL7AP49 ENSG00000184961
GOLGA2P1 ENSG00000205333
ZFP91 ENSG00000186660
MYL5 ENSG00000215375
CPNE3 ENSG00000085719
HNRNPA3P7 ENSG00000253119
OR7E13P ENSG00000197882
HDAC11-AS1 ENSG00000244502
FZD4 ENSG00000174804
TAS2R39 ENSG00000236398
OR7E2P ENSG00000255203
HMGB1P42 ENSG00000254735
ELOCP22 ENSG00000255006
RAB8A ENSG00000167461
GRIK4 ENSG00000149403
TAS2R40 ENSG00000221937
SYNE4 ENSG00000181392
ZFP91-CNTF ENSG00000255073
ZNF812P ENSG00000224689
MESTP3 ENSG00000250927
FOXRED1 ENSG00000110074
AQP7 ENSG00000165269
SMARCE1P7 ENSG00000270973
LINC01514 ENSG00000237579
CCDC115 ENSG00000136710
MRPS18AP1 ENSG00000229759
HNRNPM ENSG00000099783
NME6 ENSG00000172113
PTMAP11 ENSG00000269907
NUTM2G ENSG00000188152
EPC2 ENSG00000135999
XIAP ENSG00000101966
KCNN1 ENSG00000105642
BARX1 ENSG00000131668
HNRNPA1P2 ENSG00000235171
ATP5ME ENSG00000169020
TSBP1 ENSG00000206310
PPIAP17 ENSG00000225622
FERMT3 ENSG00000149781
PRKAG2-AS1 ENSG00000239911
BARX1-DT ENSG00000235601
RAX ENSG00000134438
UGT3A2 ENSG00000168671
HSH2D ENSG00000196684
PRPF8 ENSG00000174231
PRKAG2 ENSG00000106617
YRDCP2 ENSG00000236745
DEFB108A ENSG00000229907
MFSD14C ENSG00000196312
TNFRSF11A ENSG00000141655
ZNF705B ENSG00000215356
FAM181A ENSG00000273533
TSC22D1-AS1 ENSG00000278156
DCAF1 ENSG00000145041
CLASP2 ENSG00000163539
FAM66E ENSG00000225725
FAM181A-AS1 ENSG00000281032
USP17L8 ENSG00000237038
USP17L3 ENSG00000225327
XIAP-AS1 ENSG00000237331
DEFB109C ENSG00000205989
TSC22D1 ENSG00000102804
LINC02364 ENSG00000250190
HASPIN ENSG00000177602
PLA2G12AP2 ENSG00000225221
ANKRD26P2 ENSG00000235550
ITGAE ENSG00000083457
NR1D1 ENSG00000126368
CECR3 ENSG00000241832
FAM32BP ENSG00000203416
CYP1A1 ENSG00000140465
DCAF8L2 ENSG00000189186
LINC01366 ENSG00000235172
SLC16A14P1 ENSG00000213708
STOML3 ENSG00000133115
ARHGEF10 ENSG00000104728
MIOXP1 ENSG00000253292
ADA2 ENSG00000093072
DNAJC30 ENSG00000176410
ANO1-AS1 ENSG00000254902
TSBP1-AS1 ENSG00000228738
CTRC ENSG00000162438
ANO1 ENSG00000131620
STX1A ENSG00000106089
MAGEB10 ENSG00000177689
THRA ENSG00000126351
PLCD4 ENSG00000115556
DNAJC4 ENSG00000110011
BLOC1S2 ENSG00000196072
ZNF37CP ENSG00000151963
FAM118B ENSG00000197798
EXOC3 ENSG00000180104
RBM15B ENSG00000259956
SKIV2L ENSG00000232616
RPS2P32 ENSG00000232818
WDR88 ENSG00000166359
SLC44A4 ENSG00000228263
OSTC ENSG00000198856
LMBRD2 ENSG00000164187
VPS41 ENSG00000006715
LINC02559 ENSG00000236464
PPM1M ENSG00000164088
NUDT22 ENSG00000149761
OR6X1 ENSG00000221931
HLA-V ENSG00000223606
ZNF589 ENSG00000164048
IMPA1 ENSG00000133731
ZNF846 ENSG00000196605
SLC9A3-AS1 ENSG00000225138
DCAF8L1 ENSG00000226372
HCG4 ENSG00000235317
NPAT ENSG00000149308
HCG9 ENSG00000227647
BTNL2 ENSG00000229597
GTF2I ENSG00000263001
METTL21EP ENSG00000250878
FCF1P2 ENSG00000228638
NUCB2 ENSG00000070081
LINC01499 ENSG00000255171
SLC9A3 ENSG00000066230
LINC02472 ENSG00000248338
ZDHHC20-IT1 ENSG00000236953
ZDHHC20 ENSG00000180776
HLA-J ENSG00000223439
CELA2A ENSG00000142615
NONOP2 ENSG00000237522
RAB6D ENSG00000233087
EEF1A1P21 ENSG00000249542
LINC02745 ENSG00000255300
UBE2L4 ENSG00000267741
SCG2 ENSG00000171951
PTPN5 ENSG00000110786
RPL7AP66 ENSG00000175886
SMARCE1P5 ENSG00000230793
HLA-DRA ENSG00000206308
MIR924HG ENSG00000267374
LINC00407 ENSG00000237585
LINC02740 ENSG00000255109
PHBP7 ENSG00000213711
CELA2B ENSG00000215704
PTCD2P2 ENSG00000234256
TPST2P1 ENSG00000260582
CCT4P1 ENSG00000242703
FLYWCH2 ENSG00000162076
CSNK1A1P1 ENSG00000223518
OR2A4 ENSG00000180658
ARSJ ENSG00000180801
LINC00330 ENSG00000235097
LITAF ENSG00000189067
MEF2A ENSG00000068305
ENPP3 ENSG00000154269
TOX2 ENSG00000124191
NELFE ENSG00000229363
C11orf65 ENSG00000166323
HMGB3P26 ENSG00000259428
MTCYBP10 ENSG00000233285
ABCA7 ENSG00000064687
WNT4 ENSG00000162552
WDR19 ENSG00000157796
RTEL1 ENSG00000258366
RPS3AP17 ENSG00000244031
C15orf41 ENSG00000186073
CLN8 ENSG00000182372
BHLHA9 ENSG00000205899
RPS29P17 ENSG00000227852
TCEANC ENSG00000176896
UGT8 ENSG00000174607
RPSAP5 ENSG00000243904
CASP9 ENSG00000132906
GPALPP1 ENSG00000133114
MTND6P10 ENSG00000227275
HLA-DRB9 ENSG00000226035
RPL17P44 ENSG00000241088
NPM1P46 ENSG00000213104
PPIAP34 ENSG00000234397
ACTBP9 ENSG00000266920
GAPDHP52 ENSG00000235076
U2AF1L5 ENSG00000275895
C2orf27AP3 ENSG00000230804
MTCYBP43 ENSG00000250624
CABP7 ENSG00000100314
CIR1P2 ENSG00000250215
PCDH7 ENSG00000169851
HNRNPCP2 ENSG00000204253
PTPDC1 ENSG00000158079
ZMAT5 ENSG00000100319
HIBCH ENSG00000198130
MICD ENSG00000230745
PARK7 ENSG00000116288
FAM90A11P ENSG00000233115
NUFIP1 ENSG00000083635
NLRP2 ENSG00000277060
UQCR10 ENSG00000184076
ZNRD1ASP ENSG00000235394
TRARG1 ENSG00000184811
NCMAP-DT ENSG00000264443
RCAN3AS ENSG00000286061
ATM ENSG00000149311
NCR1 ENSG00000277334
NAA35 ENSG00000135040
CD72 ENSG00000137101
RCAN3 ENSG00000117602
HNRNPKP3 ENSG00000251557
SNHG32 ENSG00000206380
MTPN ENSG00000105887
RAB8B ENSG00000166128
RPL3P2 ENSG00000227656
HLA-C ENSG00000225691
FAM214A ENSG00000047346
NMU ENSG00000109255
LUZP6 ENSG00000267697
IL17RC ENSG00000163702
PRPF4 ENSG00000136875
HLA-DRB3 ENSG00000196101
ARL4AP2 ENSG00000248780
NSUN7 ENSG00000179299
USPL1 ENSG00000132952
FLYWCH1 ENSG00000059122
USP9YP31 ENSG00000229250
CDY18P ENSG00000232205
RAB9A ENSG00000123595
DPY30 ENSG00000162961
GPC5-IT1 ENSG00000236240
GPC5-AS2 ENSG00000232885
CTAGE9 ENSG00000236761
BCAR1P2 ENSG00000258771
GPC5 ENSG00000179399
FAM136BP ENSG00000232654
TMEM86A ENSG00000151117
UBBP3 ENSG00000223962
TESK1 ENSG00000107140
CYCSP24 ENSG00000227666
PEX13 ENSG00000162928
BTG3 ENSG00000281484
MEP1AP1 ENSG00000283246
FABP5P4 ENSG00000229287
GPC5-AS1 ENSG00000235984
GGNBP2 ENSG00000278311
IGSF22 ENSG00000179057
VSIG4 ENSG00000155659
IL32 ENSG00000008517
LINC01149 ENSG00000231836
TENM1 ENSG00000009694
IDH1-AS1 ENSG00000231908
CDC26 ENSG00000176386
ARPC2 ENSG00000163466
MED19 ENSG00000156603
IDH1 ENSG00000138413
PKD2L1 ENSG00000107593
BTG3-AS1 ENSG00000281317
PMS2 ENSG00000122512
KIF5C ENSG00000168280
LARP4P ENSG00000261315
BMS1P16 ENSG00000258684
APBB2 ENSG00000163697
MEMO1 ENSG00000162959
SLC31A1 ENSG00000136868
