query	term	label	source	quality	action
Multiple Tumours	http://www.ebi.ac.uk/efo/EFO_0009140	metastatic pancreatic neuroendocrine tumours	OLS API EFO lookup	fuzzy	check if valid
Neonatal cholestasis	http://www.orpha.net/ORDO/Orphanet_247598	Neonatal intrahepatic cholestasis due to citrin deficiency	OLS API EFO lookup	fuzzy	check if valid
Neonatal or paediatric intensive care admission with a likely monogenic disease	http://www.orpha.net/ORDO/Orphanet_166472	Monogenic disease with epilepsy	OLS API EFO lookup	fuzzy	check if valid
Neuro-endocrine Tumours- PCC and PGL	http://www.orpha.net/ORDO/Orphanet_29072	Hereditary pheochromocytoma-paraganglioma	OLS API EFO lookup	fuzzy	check if valid
Neurofibromatosis Type 1	http://www.orpha.net/ORDO/Orphanet_636	Neurofibromatosis type 1	Zooma API lookup	match	
Neurotransmitter disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Non-CF bronchiectasis	http://purl.obolibrary.org/obo/HP_0002110	Bronchiectasis	OLS API EFO lookup	fuzzy	check if valid
Non-Fanconi anaemia	http://www.ebi.ac.uk/efo/EFO_0009044	Fanconi anemia complementation group A	OLS API EFO lookup	fuzzy	check if valid
Non-syndromic familial congenital anorectal malformations	http://www.orpha.net/ORDO/Orphanet_91492	Non-syndromic congenital cataract	OLS API EFO lookup	fuzzy	check if valid
Non-syndromic hypotrichosis	http://www.orpha.net/ORDO/Orphanet_69735	Hypotrichosis - lymphedema - telangiectasia	OLS API EFO lookup	fuzzy	check if valid
Noonan syndrome	http://www.orpha.net/ORDO/Orphanet_648	noonan syndrome	OT Zooma Mappings	match	
Noonan syndrome plus other features	http://www.orpha.net/ORDO/Orphanet_709	Peters plus syndrome	OLS API EFO lookup	fuzzy	check if valid
Ocular coloboma	http://www.orpha.net/ORDO/Orphanet_194	Ocular coloboma	OLS API EFO lookup	match	
Osteogenesis imperfecta	http://www.orpha.net/ORDO/Orphanet_666	osteogenesis imperfecta	OT Zooma Mappings	match	
Other peroxisomal disorders	http://www.orpha.net/ORDO/Orphanet_68373	Peroxisomal disease	OLS API EFO lookup	fuzzy	check if valid
Other rare neuromuscular disorders	http://purl.obolibrary.org/obo/MONDO_0015888	other rare diabetes mellitus	OLS API EFO lookup	fuzzy	check if valid
Paediatric congenital malformation-dysmorphism-tumour sydromes	http://www.ebi.ac.uk/efo/EFO_0005269	congenital heart malformation	OLS API EFO lookup	fuzzy	check if valid
paediatric-congenital-malformation-dysmorphism-tumour-sydromes	http://www.ebi.ac.uk/efo/EFO_0005269	congenital heart malformation	OLS API EFO lookup	fuzzy	check if valid
Paediatric congenital malformation-dysmorphism-tumour syndromes	http://www.orpha.net/ORDO/Orphanet_98914	Presynaptic congenital myasthenic syndromes	OLS API EFO lookup	fuzzy	check if valid
Paediatric motor neuronopathies	http://www.ebi.ac.uk/efo/EFO_1001089	partial motor epilepsy	OLS API EFO lookup	fuzzy	check if valid
Pain Channelopathies	http://www.ebi.ac.uk/efo/EFO_0003843	pain	OLS API EFO lookup	fuzzy	check if valid
Palmoplantar keratoderma and erythrokeratodermas					
Parathyroid cancer	http://www.ebi.ac.uk/efo/EFO_1000456	Parathyroid Gland Carcinoma	OLS API EFO lookup	match	
Peeling skin syndrome	http://www.orpha.net/ORDO/Orphanet_817	peeling skin syndrome	Zooma API lookup	match	
Periodic fever syndromes and amyloidosis					
Peroxisomal biogenesis disorders	http://www.orpha.net/ORDO/Orphanet_68373	peroxisomal biogenesis disorders	OT Zooma Mappings	match	
Peroxisomal disorders (other)	http://www.orpha.net/ORDO/Orphanet_68373	Peroxisomal disease	OLS API EFO lookup	fuzzy	check if valid
Peutz-Jeghers syndrome	http://www.orpha.net/ORDO/Orphanet_2869	peutz-jeghers syndrome	OT Zooma Mappings	match	
PHACE(S) syndrome	http://www.orpha.net/ORDO/Orphanet_42775	PHACE syndrome	OLS API EFO lookup	fuzzy	check if valid
Pontine tegmental cap dysplasia	http://www.orpha.net/ORDO/Orphanet_269229	Pontine tegmental cap dysplasia	OLS API ORDO exact lookup	match	check if in OT
Primary ciliary disorders	http://www.orpha.net/ORDO/Orphanet_247522	Primary ciliary dyskinesia - retinitis pigmentosa	OLS API EFO lookup	fuzzy	check if valid
Primary ciliary dyskinesia	http://www.orpha.net/ORDO/Orphanet_244	primary ciliary dyskinesia	OT Zooma Mappings	match	
Primary immunodeficiency	http://www.orpha.net/ORDO/Orphanet_101997	primary immunodeficiency	Zooma API lookup	match	
Primary lymphoedema	http://www.ebi.ac.uk/efo/EFO_1002032	primary hypertension	OLS API EFO lookup	fuzzy	check if valid
Primary membranoproliferative glomerulonephritis	http://www.orpha.net/ORDO/Orphanet_54370	Primary membranoproliferative glomerulonephritis	OLS API EFO lookup	match	
Primary Microcephaly - Microcephalic Dwarfism Spectrum	http://www.orpha.net/ORDO/Orphanet_329228	Microcephalic primordial dwarfism due to ZNF335 deficiency	OLS API EFO lookup	fuzzy	check if valid
primary microcephaly microcephalic dwarfism spectrum	http://www.orpha.net/ORDO/Orphanet_329228	Microcephalic primordial dwarfism due to ZNF335 deficiency	OLS API EFO lookup	fuzzy	check if valid
Proteinuric renal disease	http://www.ebi.ac.uk/efo/EFO_0008621	Microcystic Renal Disease	OLS API EFO lookup	fuzzy	check if valid
Pulmonary arterial hypertension	http://www.ebi.ac.uk/efo/EFO_0001361	pulmonary hypertension	EFO OBO	match	
Pulmonary atresia	http://purl.obolibrary.org/obo/HP_0004935	Pulmonary artery atresia	OLS API HP exact lookup	match	check if in OT
Radial dysplasia	http://purl.obolibrary.org/obo/HP_0004059	Radial club hand	OLS API HP exact lookup	match	check if in OT
Rare multisystem ciliopathy disorders	http://www.ebi.ac.uk/efo/EFO_0003900	ciliopathy	OLS API EFO lookup	fuzzy	check if valid
Reflux nephropathy	http://www.ebi.ac.uk/efo/EFO_1001355	Laryngopharyngeal Reflux	OLS API EFO lookup	fuzzy	check if valid
Renal development defects	http://www.orpha.net/ORDO/Orphanet_2549	Oculoauriculovertebral spectrum with radial defects	OLS API EFO lookup	fuzzy	check if valid
Renal failure / insufficiency, developmental delay, retinopathy, hypomagnesaemia, hypercalciuria, anal stenosis, and autism	http://purl.obolibrary.org/obo/HP_0000083	Renal insufficiency	OLS API EFO lookup	fuzzy	check if valid
Renal tract calcification (or Nephrolithiasis/nephrocalcinosis)	http://www.ebi.ac.uk/efo/EFO_0003837	calcification	OLS API EFO lookup	fuzzy	check if valid
Renal tract calcification (or Nephrolithiasis or nephrocalcinosis)	http://www.ebi.ac.uk/efo/EFO_0003837	calcification	OLS API EFO lookup	fuzzy	check if valid
Renal tubular acidosis	http://purl.obolibrary.org/obo/MONDO_0001909	renal tubular acidosis	OLS API EFO lookup	match	
Resistance to thyroid hormone	http://purl.obolibrary.org/obo/HP_0002930	Impaired sensitivity to thyroid hormone	OLS API HP exact lookup	match	check if in OT
Retinal dystrophies (+/- other features)	http://www.ebi.ac.uk/efo/EFO_1001157	retinal vein occlusion	OLS API EFO lookup	fuzzy	check if valid
Rhabdomyolysis and metabolic muscle disorders	http://purl.obolibrary.org/obo/MONDO_0018820	recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome	OLS API EFO lookup	fuzzy	check if valid
Rhomboencephalosynapsis					
rod cone dystrophy	http://www.orpha.net/ORDO/Orphanet_1872	rod-cone dystrophy	Zooma API lookup	match	
Rod-cone dystrophy	http://www.orpha.net/ORDO/Orphanet_1872	rod-cone dystrophy	Zooma API lookup	match	
Rod Dysfunction Syndrome	http://purl.obolibrary.org/obo/MONDO_0000152	thiamine-responsive dysfunction syndrome	OLS API EFO lookup	fuzzy	check if valid
Schizophrenia plus additional features	http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	OLS API EFO lookup	fuzzy	check if valid
SCID	http://www.orpha.net/ORDO/Orphanet_183660	Severe combined immunodeficiency	OLS API EFO lookup	match	
Severe familial anorexia	http://www.ebi.ac.uk/efo/EFO_0004215	anorexia nervosa	OLS API EFO lookup	fuzzy	check if valid
Severe hypertriglyceridaemia	http://www.ebi.ac.uk/efo/EFO_0006927	severe aplastic anemia	OLS API EFO lookup	fuzzy	check if valid
Severe multi-system atopic disease with high IgE	http://www.ebi.ac.uk/efo/EFO_0000274	atopic eczema	OLS API EFO lookup	fuzzy	check if valid
Short QT syndrome	http://www.orpha.net/ORDO/Orphanet_51083	Familial short QT syndrome	OLS API EFO lookup	match	
Significant early-onset obesity +/- other endocrine features and short stature					
significant early onset obesity with or without other endocrine features and short stature	http://www.ebi.ac.uk/efo/EFO_0009031	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome	OLS API EFO lookup	fuzzy	check if valid
Significant early-onset obesity with or without other endocrine features and short stature	http://www.ebi.ac.uk/efo/EFO_0009031	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome	OLS API EFO lookup	fuzzy	check if valid
Silver Russell syndrome	http://www.orpha.net/ORDO/Orphanet_813	Silver-Russell syndrome	OLS API EFO lookup	fuzzy	check if valid
Simpson-Golabi-Behmel syndrome	http://www.orpha.net/ORDO/Orphanet_373	simpson-golabi-behmel syndrome	OT Zooma Mappings	match	
Single autosomal recessive mutation in rare disease	http://www.ebi.ac.uk/efo/EFO_1000017	autosomal recessive disease	OLS API EFO lookup	fuzzy	check if valid
Skeletal Muscle Channelopathies					
Sotos syndrome	http://www.orpha.net/ORDO/Orphanet_821	sotos syndrome	OT Zooma Mappings	match	
Stickler syndrome	http://www.orpha.net/ORDO/Orphanet_828	stickler syndrome	OT Zooma Mappings	match	
Structural basal ganglia disorders	http://www.ebi.ac.uk/efo/EFO_0009325	basal ganglia growth measurement	OLS API EFO lookup	fuzzy	check if valid
Syndromic cleft lip and or cleft palate	http://purl.obolibrary.org/obo/HP_0000175	cleft palate	OLS API EFO lookup	fuzzy	check if valid
Syndromic congenital heart disease	http://www.ebi.ac.uk/efo/EFO_0005269	congenital heart malformation	OLS API EFO lookup	fuzzy	check if valid
Thoracic dystrophies	http://www.ebi.ac.uk/efo/EFO_0004282	thoracic aortic aneurysm	OLS API EFO lookup	fuzzy	check if valid
Transposition of the great vessels	http://purl.obolibrary.org/obo/MONDO_0000153	transposition of the great arteries	OLS API EFO lookup	match	
ultra rare undescribed monogenic disorders	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes	OLS API EFO lookup	fuzzy	check if valid
Ultra-rare undescribed monogenic disorders	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes	OLS API EFO lookup	fuzzy	check if valid
ultra-rare-undescribed-monogenic-disorders	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes	OLS API EFO lookup	fuzzy	check if valid
Undiagnosed metabolic disorders	http://www.ebi.ac.uk/efo/EFO_0000589	metabolic disease	OLS API EFO lookup	fuzzy	check if valid
Undiagnosed monogenic disorder seen in a specialist genetics clinic	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes	OLS API EFO lookup	fuzzy	check if valid
Undiagnosed monogenic disorder seen in specialist genetics clinic	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes	OLS API EFO lookup	fuzzy	check if valid
Undiagnosed neurocutaneous disorders	http://purl.obolibrary.org/obo/MONDO_0042983	neurocutaneous syndrome	OLS API EFO lookup	fuzzy	check if valid
Unexplained kidney failure in young people	http://www.ebi.ac.uk/efo/EFO_1002048	kidney failure	OLS API EFO lookup	fuzzy	check if valid
Unexplained monogenic fetal disorders	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes	OLS API EFO lookup	fuzzy	check if valid
Unexplained skeletal dysplasia	http://purl.obolibrary.org/obo/HP_0002652	Skeletal dysplasia	OLS API EFO lookup	fuzzy	check if valid
Unexplained sudden death in the young	http://www.ebi.ac.uk/efo/EFO_0005303	sudden infant death syndrome	OLS API EFO lookup	fuzzy	check if valid
unknown	http://www.orpha.net/ORDO/Orphanet_84096	Unknown leukodystrophy	OLS API EFO lookup	fuzzy	check if valid
vacterl like phenotypes	http://www.orpha.net/ORDO/Orphanet_887	VACTERL/VATER association	OLS API EFO lookup	fuzzy	check if valid
VACTERL-like phenotypes	http://www.orpha.net/ORDO/Orphanet_887	VACTERL/VATER association	OLS API EFO lookup	fuzzy	check if valid
Vein of Galen malformation	http://purl.obolibrary.org/obo/HP_0030713	Vein of Galen aneurysmal malformation	OLS API HP exact lookup	match	check if in OT
Vici Syndrome and other autophagy disorders	http://www.ebi.ac.uk/efo/EFO_0003757	Asperger syndrome	OLS API EFO lookup	fuzzy	check if valid
Weaver syndrome	http://www.orpha.net/ORDO/Orphanet_3447	weaver syndrome	OT Zooma Mappings	match	
Xeroderma Pigmentosum-like disorders	http://www.orpha.net/ORDO/Orphanet_910	Xeroderma pigmentosum	OLS API EFO lookup	fuzzy	check if valid
